Case,InputID,Source,Onset,Duration,MarginMPH,NormalMarginMPH,Violation,GearPass,HeldSamples,FirstReachSeconds,BeforeFaultError,SimulationSeconds
S08,I023,corner,15,0.5,6.1863619008945,6.1863619008945,0,1,0,16.84,0,0.463697208333333
S09,I023,corner,15,1,6.1863619008945,6.1863619008945,0,1,0,16.84,0,0.449768666666667
B00,I024,corner,0,0,6.1863619008945,6.1863619008945,0,1,0,16.84,0,0.435610958333333
S01,I024,corner,5,0.2,6.1863619008945,6.1863619008945,0,1,0,16.84,0,0.464638416666667
S02,I024,corner,5,0.5,6.1863619008945,6.1863619008945,0,1,0,16.84,0,0.581566583333333
S03,I024,corner,5,1,6.1863619008945,6.1863619008945,0,1,0,16.84,0,0.61900275
S04,I024,corner,10,0.2,6.28239470764022,6.1863619008945,0,1,12,16.79,0,0.556601041666667
S05,I024,corner,10,0.5,6.52232557504365,6.1863619008945,0,1,42,16.66,0,0.582796
S06,I024,corner,10,1,6.91519516100173,6.1863619008945,0,1,92,16.45,0,0.543356
S07,I024,corner,15,0.2,6.1863619008945,6.1863619008945,0,1,0,16.84,0,0.559078625
S08,I024,corner,15,0.5,6.1863619008945,6.1863619008945,0,1,0,16.84,0,0.533548166666667
S09,I024,corner,15,1,6.1863619008945,6.1863619008945,0,1,0,16.84,0,0.541611625
B00,I025,corner,0,0,10.6599293392629,10.6599293392629,0,1,0,16.28,0,0.522504708333333
S01,I025,corner,5,0.2,10.6599293392629,10.6599293392629,0,1,0,16.28,0,0.536412916666667
S02,I025,corner,5,0.5,10.6599293392629,10.6599293392629,0,1,0,16.28,0,0.559069916666667
S03,I025,corner,5,1,10.6599293392629,10.6599293392629,0,1,0,16.28,0,0.608916291666667
S04,I025,corner,10,0.2,10.7578006928256,10.6599293392629,0,1,12,16.24,0,0.566836625
S05,I025,corner,10,0.5,11.0020490095008,10.6599293392629,0,1,42,16.15,0,0.5514975
S06,I025,corner,10,1,11.4007879468328,10.6599293392629,0,1,92,16,0,0.581264833333333
S07,I025,corner,15,0.2,10.6599293392629,10.6599293392629,0,1,0,16.28,0,0.60911225
S08,I025,corner,15,0.5,10.6599293392629,10.6599293392629,0,1,0,16.28,0,0.578353958333333
S09,I025,corner,15,1,10.6599293392629,10.6599293392629,0,1,0,16.28,0,0.520479041666667
B00,I026,corner,0,0,10.6599293392629,10.6599293392629,0,1,0,16.28,0,0.559590791666667
S01,I026,corner,5,0.2,10.6599293392629,10.6599293392629,0,1,0,16.28,0,0.55843225
S02,I026,corner,5,0.5,10.6599293392629,10.6599293392629,0,1,0,16.28,0,0.550298666666667
S03,I026,corner,5,1,10.6599293392629,10.6599293392629,0,1,0,16.28,0,0.586943041666667
S04,I026,corner,10,0.2,10.7578006928256,10.6599293392629,0,1,12,16.24,0,0.51492625
S05,I026,corner,10,0.5,11.0020490095008,10.6599293392629,0,1,42,16.15,0,0.461661791666667
S06,I026,corner,10,1,11.4007879468328,10.6599293392629,0,1,92,16,0,0.466293416666667
S07,I026,corner,15,0.2,10.6599293392629,10.6599293392629,0,1,0,16.28,0,0.481998958333333
S08,I026,corner,15,0.5,10.6599293392629,10.6599293392629,0,1,0,16.28,0,0.46299625
S09,I026,corner,15,1,10.6599293392629,10.6599293392629,0,1,0,16.28,0,0.492954625
B00,I027,corner,0,0,10.6599293392629,10.6599293392629,0,1,0,16.28,0,0.460191375
S01,I027,corner,5,0.2,10.6599293392629,10.6599293392629,0,1,0,16.28,0,0.476657791666667
S02,I027,corner,5,0.5,10.6599293392629,10.6599293392629,0,1,0,16.28,0,0.483051708333333
S03,I027,corner,5,1,10.6599293392629,10.6599293392629,0,1,0,16.28,0,0.4807495
S04,I027,corner,10,0.2,10.7578006928256,10.6599293392629,0,1,12,16.24,0,0.478848875
S05,I027,corner,10,0.5,11.0020490095008,10.6599293392629,0,1,42,16.15,0,0.490635625
S06,I027,corner,10,1,11.4007879468328,10.6599293392629,0,1,92,16,0,0.476403458333333
